RG_NAME,PHONE_NUMBER,WEBSITE,WHEELCHAIR_ACCESSIBLE,LATITUDE,LONGITUDE
Tillicum Medical Clinic,2503818112,https://www.tillicummedicalclinic.ca/,Y,48.453374,-123.39404
Hilltop Medical Clinic,6045315575,https://www.hilltopmedical.ca/,Y,49.031121,-122.798056
Spall Medical Centre,2508609909,,Y,49.882804,-119.453794
Ellwood Medical Clinic,6047464700,,Y,49.060779,-122.378818
Mission Hills Medical Clinic,6048267751,https://missionhillsmedical.ca,Y,49.133002,-122.32574
Shelbourne Medical Clinic,2505928485,https://shelbournemedicalclinic.com/,Y,48.448582,-123.333229
Sea To Sky Walk In Clinic,6048985555,,Y,49.736349,-123.132852
Peach City Medical and Urgent Care Clinic,2502765050,,Y,49.472813,-119.583878
Aquarius Medical Clinic,6046697772,http://aquariusmedical.ca/,Y,49.273776,-123.120741
Lonsdale Medical Clinics,6049873347,https://www.lonsdaleclinic.com/,Y,49.327193,-123.071945
Lonsdale Medical Clinics,6049830054,https://www.lonsdaleclinic.com/,Y,49.323646,-123.071443
Parker Place Medical Clinic,6042739899,,Y,49.181851,-123.136564
Park and Tilford Medical Treatment Centre,6049832442,,Y,49.308678,-123.04047
Avecina Medical Clinic,6045391744,,Y,49.103208,-122.650601
Brentwood Medical Clinic,6042948540,https://www.brentwoodwalk-inclinic.com/,Y,49.266485,-123.00166
Lonsdale Medical Clinic,6049048804,https://wellclinics.ca/properties/lonsdale-medical-clinic/,Y,49.318173,-123.071886
Boundary Park Medical Centre,6045916300,,Y,49.118235,-122.890172
Clover Care Medical Clinic,6045747883,https://wellclinics.ca/properties/clovercare-medical-clinic/,Y,49.104124,-122.730256
Cottonwood Medical Clinic,6044769705,,Y,49.22069,-122.561484
Orca Medical Clinic,2365218153,https://www.orcamedical.ca/,Y,49.327338,-123.15212
Pemberton Marine Medical Clinic,6049860677,https://wellclinics.ca/properties/pemberton-marine-medical-clinic/,Y,49.324102,-123.10837
Pacific Medical Clinic,6043019955,https://pacificmedicalvancouver.com/locations-contact/,Y,49.22855,-123.090284
Pacific Medical Clinic,6048745555,https://pacificmedicalvancouver.com/locations-contact/,Y,49.244632,-123.06485
Pacific Medical Clinic,6044342222,https://pacificmedicalvancouver.com/locations-contact/,Y,49.258207,-123.036662
Powell River Medical Clinic,6044855501,https://www.powellriverclinic.ca/,Y,49.832069,-124.520327
Royal Columbia Medical Clinic,6045227363,https://royalcolumbiamedicalclinic.ca/,Y,49.225627,-122.892883
Glover Medical Centre,6045303233,https://www.glovermedical.com/schedule/,Y,49.108106,-122.65072
Welcome Medical Clinic,6045261303,http://welcomemedical.ca/,Y,49.219204,-122.927954
Able Care Medical Clinic,6049457819,https://wellclinics.ca/properties/able-care-medical-clinic/,Y,49.277419,-122.795021
Walnut Grove Medical,6048821250,https://www.walnutgrovemedical.ca/,Y,49.162736,-122.633984
Point Grey Medical Clinic,7783794448,https://wellclinics.ca/properties/point-grey-medical-clinic/,Y,49.26383,-123.207511
Kensington Walk-in and Paediatric Medical Clinic,6042999769,https://www.kensingtonmedicalclinic.com/,Y,49.279428,-122.968239
Ursus Care Clinic,6044659188,https://www.ursusclinic.ca/services#Walk-in,Y,49.221288,-122.671707
Medcare Plus Medical Clinic,6046003911,https://medcareplus.ca/,Y,49.222443,-122.931687
Peninsula Medical Clinic,6045314131,http://www.peninsulamedicalclinic.ca/slide-view/services/,Y,49.045582,-122.796387
Newport Medical Clinic,6044610016,https://newportmedicalclinic.com/,Y,49.282787,-122.827535
Plateau Medical Clinic,6044681500,https://www.plateaumedical.net/,Y,49.297014,-122.803349
New Pitt Meadows Medical Clinic,6044654911,https://newpittmeadowsmedicalclinic.ca/,Y,49.224038,-122.690225
Broadway Station Medical Clinic,6048725377,,Y,49.26194,-123.069626
Cambie Medical Clinic,6042709833,https://wellclinics.ca/properties/well-health-cambie-previously-healthvue-cambie/,Y,49.184268,-123.09342
Khazamipour Medical Services,6042311924,https://www.richmondclinic.ca/,Y,49.166534,-123.13489
Safa Medical Clinic,6048884472,https://www.safamedical.ca/,Y,49.165841,-122.662404
Kwantlen Medical Clinic,6045728161,,Y,49.13365,-122.867417
Station Square Medical Clinic,6044388288,https://stationsquare.cortico.ca/,Y,49.227868,-123.004463
Khatsahlano Medical Clinics,6047319187,http://khatsclinic.ca/schedule/kitsilano,Y,49.264068,-123.166009
Old Orchard Medical Clinic,6044316585,https://burnabymedicalclinic.com/medical-services/walk-in-clinic-burnaby/,Y,49.231407,-123.005129
Triton Medical Clinic,6045949990,https://wellclinics.ca/properties/triton-medical-clinic/,Y,49.15231,-122.890373
Valley Centre Medical Clinic,6045349284,,Y,49.11821,-122.673359
Willoughby Medical Centre,6045148800,https://willoughbymedical.ca,Y,49.122595,-122.662595
Highgate Medical Clinic,6047779101,https://medical.highgateclinic.ca/,Y,49.218204,-122.955384
Willowbrook Medical Clinic,6045301333,,Y,49.115513,-122.678664
Richmond Central Medical Clinic,7782974700,https://wellclinics.ca/properties/richmond-central-medical-centre/,Y,49.170249,-123.136592
Panorama Village Medical Clinic,6045740481,https://wellclinics.ca/properties/panorama-medical-clinic/,Y,49.104505,-122.80326
Mount Seymour Medical Clinic,6049047712,https://www.primacy.ca/locations/mount-seymour/,Y,49.311582,-123.024409
Doc-Side Medical,6046331234,,Y,49.283827,-123.099576
Elicare Medical,6042421862,https://www.elicare.ca/cooney,Y,49.172474,-123.131932
MD Medical Centre,2507689959,,Y,49.840972,-119.61148
Salveo Medical Clinic,2506140005,https://www.primacy.ca/locations/salveo/,Y,53.887457,-122.769326
Ultima Medical Services,6042076900,https://www.yvrmedical.com/,Y,49.194605,-123.176251
Mile Zero Clinic,2507821103,https://milezero.clinic/,Y,55.757051,-120.222749
Uptown Medical Clinic,2505908375,https://www.uptownmedicalclinic.ca/,Y,48.454041,-123.374313
Chetwynd Primary Care Clinic,2507887300,https://www.northernhealth.ca/find-a-facility/medical-clinics/chetwynd-primary-care-clinic,Y,55.700364,-121.633385
Airport Way Medical Clinic,2507747838,https://www.facebook.com/airportwaymedicalclinic/,Y,58.80795,-122.69551
Care Place Medical Clinic,6045813550,https://wellclinics.ca/properties/careplace-fleetwood/,Y,49.166461,-122.801215
Care Place Medical Clinic,6045905811,https://wellclinics.ca/properties/care-place-scott-road-medical/,Y,49.133387,-122.890314
Colebrook Medical Clinic,7785741414,https://wellclinics.ca/properties/colebrook-medical-clinic/,Y,49.103543,-122.799043
theWell Medical Clinic,6049372520,http://www.thewellmedical.com/sub/walkin.php,Y,49.249007,-122.867352
Edgemont Medical Clinic,6049909499,http://www.edgemontclinic.com/index.html,Y,49.336925,-123.101618
South Vancouver Medical Clinic,6043230077,https://www.southvanmed.com/,Y,49.210671,-123.100212
Esquimalt Medical Clinic,7782654305,https://esquimaltmedicalclinic.com/community-clinic,Y,48.429952,-123.409936
Foremed Clinic,6045222206,https://www.foremedclinic.com/,Y,49.204289,-122.905839
Wellness First Medical Clinic,6042722244,,Y,49.139527,-123.136769
Lynn Valley Medical and Travel Clinic,6049885389,https://www.lynnvalleymedical.com/home-2/walkinclinic/,Y,49.336367,-123.039
Ocean Medical,6049251884,https://www.oceanmedical.com/family-practicewalk-in,Y,49.328678,-123.163856
Caulfield Village Medical Clinic,6049221544,http://healthwisemedical.dignifiedliving.ca/index.php?option=com_content&view=category&layout=blog&id=21&Itemid=107,Y,49.347323,-123.253557
Clayton Heights Medical Clinic,6045750501,https://wellclinics.ca/properties/clayton-heights-medical-clinic/,Y,49.124387,-122.703286
Viva Care,6044228482,https://vivacare.ca/locations/burnaby-bc/,Y,49.251227,-122.895863
Viva Care,6047928482,https://vivacare.ca/locations/chilliwack-bc/,Y,49.151848,-121.97908
Viva Care,6045838482,https://vivacare.ca/locations/surrey-guildford/,Y,49.188825,-122.804342
Viva Care,6043814102,https://vivacare.ca/locations/abbotsford-bc/,Y,49.059738,-122.379944
Viva Care,7782161822,https://vivacare.ca/locations/port-coquitlam-bc/,Y,49.253528,-122.739462
Viva Care,6045999401,https://vivacare.ca/locations/delta-bc/,Y,49.118166,-122.890471
Viva Care,7783724474,https://vivacare.ca/locations/surrey-central-city/,Y,49.185883,-122.845896
All Care Walk-in Clinic,6049422266,,N,49.272759,-122.754816
Ford Road Medical Clinic,6044599995,https://fordroadwalkinclinic.ca/,N,49.222299,-122.691891
Eljen Medical Clinic,2507827525,,Y,55.749128,-120.237571
yYOUNG Medical Clinic and Pharmacy,6049148888,https://yyoungclinic.com/,Y,49.269917,-123.100793
Seymour Health Centre,6047382151,https://www.seymourhealth.ca/services,Y,49.265324,-123.13915
Horizon Access Clinic,6043920881,,Y,49.168381,-121.967945
123 Walk-in Clinic,6047554408,https://123walkinclinic.com/,Y,49.051786,-122.315463
South Point Pharmacy & Medical Clinic,6043055447,https://www.southpointmedicalclinic.ca/#Services,N,49.060207,-122.801438
Quadra Village Medical Clinic,2503835513,https://quadravillagepharmacy.com/medical-clinic/,Y,48.438086,-123.358897
Mercy Medical Clinic,7783983080,http://www.mercymedicalclinics.com/mmccoquitlam.html,Y,49.235457,-122.856333
Mercy Medical Clinic,7783303031,http://www.mercymedicalclinics.com/mmcdelta.html,Y,49.132875,-122.892594
Mercy Medical Clinic,7783585323,http://www.mercymedicalclinics.com/mmcsouthsurrey.html,Y,49.043834,-122.776408
Foothills Medical Clinic,7782855859,https://www.foothillmedicalclinic.com/,Y,49.293373,-122.755466
Cloverhill Medical Clinic,6043723386,https://cloverhillmedical.ca/,Y,49.118604,-122.711505
Comox Valley Medical Clinic,2508980202,https://comoxvalleywalkinclinic.com/index.html,Y,49.667209,-124.981057
Edwards Crossing Medical,6043929009,,Y,49.168184,-121.958392
Newgen Medical Centre,7785641899,,Y,49.117601,-122.845853
Rai Medical Clinic,6045904966,,Y,49.128771,-122.89095
First Canadian Medical Clinic,7783947480,https://firstcanadianmedical.ca/,Y,49.191351,-122.80976
The Divisions of Family Practice,,https://chilliwackyhc.com/,Y,49.134157,-121.961238
The Divisions of Family Practice,,https://chilliwackyhc.com/,Y,49.174523,-121.943036
Carefiniti Health Corporation,6049853333,https://carefiniti.com/services/,Y,49.323719,-123.109974
Carefiniti Health Corporation,6049843333,https://carefiniti.com/services/,Y,49.33784,-123.038419
North Peace Primary Care Clinic,2502620016,https://nppcc.ca/,Y,56.246765,-120.855932
Bella Bella Medical Clinic,2509572332,,Y,52.161197,-128.143155
Bella Coola Medical Clinic,2507995342,,Y,52.373495,-126.757077
Mega Fu Medical,7782184104,https://www.megafu.ca/,Y,49.178089,-123.119861
Pure Care Clinic,6044778800,,Y,49.219791,-122.600013
Beyond Health and Medical Centre,6042455797,,Y,49.11897,-122.691601
Loyal Medical Clinic,6044288313,https://www.loyalmedicalclinic.com/,Y,49.285409,-123.12195
Richmond In-Store Medical Clinic,6043037633,https://instoremed.com/,Y,49.179216,-123.138509
Georgia Medical Clinic,6045646644,https://georgia-medical-clinic.business.site/,Y,49.292361,-123.134202
Hastings Sunrise Medical Clinic,6042533166,https://wellclinics.ca/properties/hastings-sunrise-medical-clinic/,Y,49.280892,-123.058284
Denman Medical Centre,6044287611,https://denmanmedicalcentre.com/,Y,49.287963,-123.141131
Coal Harbour Health Centre,6045583313,http://www.chmed.ca/,Y,49.288023,-123.123848
Westside Medical Associates,2507686920,https://www.wsmed.ca/,Y,49.86601,-119.563434
Una Medical Clinic,6047307177,https://unamedical.weebly.com/,Y,49.257857,-123.127501
We Care Medical and Pharmacy,7785657844,https://we-care.ca/pages/doctors-appointment-1,Y,49.161949,-122.846565
We Care Medical and Pharmacy,6045936934,https://we-care.ca/pages/doctors-appointment-1,Y,49.118327,-122.845937
Keefer Medical Clinic,6046747403,https://keefermed.ca/,Y,49.279292,-123.101951
Simply Wellness,2362605335,https://www.simplywellnesskingsway.com/,Y,49.246217,-123.067617
Sina Pharmacy and Health Centre,6043367462,https://mysina.ca/med/,Y,49.279307,-123.119477
Turtle Bay Medical Clinic,7784806890,https://evolvealliedhealth.ca/clinics/lake-country/,Y,50.05433,-119.412485
Sun Peaks Community Health Centre,7786440635,https://sunpeakshealth.com/services/,Y,50.883631,-119.886065
Kinetic Energy Health and Wellness Centre,2508286637,https://www.kamloopskineticenergy.com/medical-doctor,Y,50.676672,-120.328366
West Coast Family Medical Clinic,2506424233,https://westcoastfamilymedical.com/urgent-care/,Y,48.378844,-123.721171
River City Medical Clinic,2502872111,https://www.primacy.ca/locations/river-city/,Y,50.036017,-125.248484
Exeter Medical Clinic,2503952271,https://app.blockhealth.co/form_view/82,Y,51.638098,-121.294045
Selkirk Medical Group,2508379321,https://www.selkirkmedicalgroup.ca/,Y,50.99882,-118.19572
Walk In Virtual Doctors,6045728161,https://walkin.ca/,Y,49.133505,-122.867249
West Saanich Medical Clinic,2505908378,http://westsaanichmedical.com/,Y,48.491889,-123.388039
Columbia Square Medical Clinic,6045534667,https://columbiasquareclinic.com/#/medical/walk-in,Y,49.20077,-122.917358
TLC Medical Clinic,6044389991,https://www.tlcmedical.ca/clinic-schedule,Y,49.218948,-122.956766
TLC Medical Clinic,6042423412,https://www.tlcmedical.ca/clinic-schedule,Y,49.166259,-123.135228
TLC Medical Clinic,6044162662,https://www.tlcmedical.ca/clinic-schedule,Y,49.219593,-123.140966
Nova Care Medical Centre,6044684085,https://www.novamedicalcentre.ca/,Y,49.278196,-122.806341
Oxford Medical Clinic,6045523001,https://www.oxfordmedicalclinics.com/walk-in,Y,49.264704,-122.768621
Metro Medical Clinic and Pharmacy,6047021900,,Y,49.153731,-121.96195
