Business Name,Email,Phone,Fax,Web Site,City,Latitude,Longitude
All Safe Traffic Control Inc,resume@allsafetraffic.com,250-718-1357,,http://allsafetraffic.com,Peachland,49.785176,-119.7250858
Vancouver Blues Around Town,vanbluesaroundtown@gmail.com,604-842-6724,,vancouverblues.ca/,Vancouver,49.2682231,-123.1492322
Aligned Industrial Services,brad.dumont@alignedindustrial.com,604-374-2647,,http://www.alignedindustrial.com,Coquitlam,49.2251843,-122.8372707
Alpha Concrete Pumping Ltd.,office@alphaconcretepumping.com,604-853-4086,,http://www.alphaconcretepumping.com,Abbotsford,49.1034234,-122.2579019
Complete Safety Services Inc,completesafety@live.com,250-787-0072,250-787-0073,completesafety.ca,Fort St John,56.2464707,-120.8363512
Pacific Rim Drain Cleaning,pacificrimdraincleaning@gmail.com,250-668-2175,,pacificrimdrain.com,Nanaimo,49.216621,-123.9507837
RiverStone Holistic Day Spa,riverstoneholistic@gmail.com,778 210 0209,,http://riverstoneholisticdayspa.com,Witset,55.0190888,-127.3319454
Jelly Digital Marketing & PR,darian@jellymarketing.com,604-674-3559,,jellymarketing.ca/,Langley,49.1647292,-122.5852375
The Brush & Wand Studio,info@brushandwand.com,604-655-6703,,http://brushandwand.com,Vancouver,49.2638803,-123.206394
TNT Bookkeeping,tntbookkeeping@outlook.com,250-996-3855,,,Prince George,53.8825578,-122.7774812
Huu-Miis & Tuhmapt Counselling Services,htcounsellingservices@pm.me,236-544-0464,,,Ucluelet,49.2690655,-125.1479364
Luxton Construction Plains Inc.,info@luxtonconstruction.ca,778-859-5654,,,Delta,49.1537162,-122.9718688
Coldsnake Digital Corporation,stacey@coldsnakedigital.com,604-377-9879,,www.coldsnakedigital.com,West Vancouver,49.3257894,-123.137838
Canam Safety Ventures Inc.,jkenn@consultant.com,250-852-3721,,canamsafetyventures.com,Langley,49.1267213,-122.6677506
RoofTop Tents,info@rooftoptents.ca,250-740-1844,,rooftoptents.ca/,Nanaimo,49.0826687,-123.9931793
Evolution Business Marketing & Communications,chris@evolutionbusiness.ca,250-740-1844,,,Nanaimo,49.1613725,-123.9419187
NATIONAL VENT FIRE PREVENTION,wyattnationalvent@yahoo.ca,604-786-6646,,http://nationalvent.biz,Chilliwack,49.1344389,-121.9643429
Shadow Ent Ltd.,chshadow64@gmail.com,(250) 329-8262,,,Fort St. John,62.37798,-140.8792937
?Akisq'nuk Development Corporation,,250-342-4409,250-342-4407,,Windermere,50.4636112,-115.9888889
?aqam Community Enterprises,ace@aqam.net,250-432-9549,,www.investaqam.com,Cranbrook,49.5829772,-115.755187
1 Nation Distribution,admin@1nationdistribution.com,,,http://1nationdistribution.com/,Coquitlam,49.2890239,-122.8133682
1204894 Alta Ltd Welding & Fabricating,,250-774-3965,,,Fort Nelson,58.8055556,-122.6972222
2Badgers Consulting Inc,info@2badgers.ca,250-317-7717,250-707-3869,http://www.2badgers.ca/,Westbank,49.8414241,-119.610806
3 Rivers Contracting,3rivers@telus.net,250-842-8117,250-842-0414,,Sik-e-dakh,55.3083101,-127.6684678
308598 BC Ltd O/A Diesle & Dust,dieselanddust@hotmail.com,250-342-1276,,,Invermere,50.5058334,-116.0305555
4 Sure Bistro,surebistro@hotmail.com,778-412-1399,,,Williams Lake,52.1284025,-122.1438397
40 Mile Flats,gmfrocklage@gmail.com,250-234-3303,,,Iskut,57.8375,-129.9875
4Evergreen Resources,hpaquette@4eg.ca,,,http://www.4eg.ca/,Moberly Lake,55.8506197,-121.6532238
4Feathers Innovating Passion,babine@telus.net,250-692-6092,,,Burns Lake,54.2420936,-125.7633331
4TR Ventures Ltd.,fred4tr@gmail.com,250-819-0320,,,Barriere,51.1797223,-120.1236111
A B Security,clarence@absecurityservices.ca,250-782-7761,250-782-7764,http://absecurityservices.ca/,Dawson Creek,55.7627258,-120.2303133
A&J First Aid & Safety,john@aandjfirstaid.com,250-788-1820,250-788-1812,http://aandjfirstaid.com/,Chetwynd,55.6961391,-121.6206052
A. J. Towing Inc,ajtowing@uniserve.com,604-795-3374,604-795-3347,http://www.ajtowinginc.com/,Chilliwack,49.1614859,-121.9624462
A. Kotchea & Sons Contracting Ltd,akotcheacontracting@hotmail.com,250-774-7098,250-774-7072,,Fort Nelson,58.8055556,-122.6972222
Aaron Nelson-Moody,splashingeagle@shaw.ca,604-924-4945,,http://www.splashingeagle.ca/,West Vancouver,49.3223135,-123.1331587
Aat'uu Forestry LP,jimthornton@aatuu.ca,250-761-4155,250-761-4156,http://www.ehattesaht.com/ehattesahttribe/aatuu.html,Zeballos,49.9825,-126.8461111
Aauuknuk Lodge,office@aauuknuklodge.com,250-670-9679,,http://www.aauuknuklodge.com/,Ahousaht,49.2849535,-126.0688082
AB Storage ,psteinson@shaw.ca,250-882-7165,250-655-8882,,Sidney ,48.6424388,-123.4021486
ABC Catering,bostondeb61@hotmail.com,250-378-5058,,,Quilchena,50.190746,-120.4644797
Ability in Motion ,admin@abilityinmotion.ca,604-852-3191,604-853-7580,http://www.fraservalley.medichair.com,Abbotsford,49.0478934,-122.2937364
Aboriginal & Eco-Tours,candace@aboriginalecotours.com,877-232-4622,,https://www.aboriginalecotours.com/,West Vancouver,49.32053457,-123.1325394
Aboriginal Journeys Wildlife Viewing & Adventure Tours,info@aboriginaljourneys.com,1-888-324-8745,,http://www.aboriginaljourneys.com/,Campbell River,50.0286789,-125.2550812
Aboriginal Traditions & Customs Enterprise,joethomas@lookieloo.net,,,,Invermere,50.519613,-116.004512
ACR Systems Inc.,info@acrsystems.com,604-591-1128,604-591-2252,http://www.acrsystems.com/,Surrey,49.1551911,-122.8640189
Adolphus Capot-Blanc Contracting Ltd,,250-774-7119,250-233-8998,,Fort Nelson,58.8055556,-122.6972222
Adrienne's It Works,adsilver54@hotmail.com,604-845-6547,,,Chilliwack,49.1666667,-121.95
Aelksun Forestry & Consulting Ltd,ruwright@hotmail.com,250-218-2447,,http://www.aelksun.com,Comox,49.6831033,-124.9598087
Affirmative Marketing & Printing,affirmative@shaw.ca,604-224-6173,,,Vancouver,49.2687584,-123.2103762
Afterglow Hair Lounge,info@afterglowhairlounge.com,604.485.2075,,www.afterglowhairlounge.com,Powell River,49.8468725,-124.5196439
Ahousaht Business Corporation,cindystern@telus.net,250-954-5711,,http://www.mhssahousaht.ca,Port Alberni,49.2666761,-124.8473977
Ahousaht Fishing Corporation,larryswanfisheries@gmail.com,250-670-9535,,,Ahousaht,48.6565,-123.4143
Ahtsik Native Art Gallery,art@gordondick.ca,250-723-3425,,http://www.gordondick.ca/,Port Alberni,49.2722547,-124.8736762
Akin Lake Contracting,akin.lake@gmail.com,250-996-7877,250-564-9521,,Takla Lake,51.9,-124.6
Alamo Contracting,cpoucecoupe@doigriverfn.com,250-827-3776 or 250-262-8011,,,Rose Prairie,56.5,-120.7833333
Alberni Colour Corner Ltd,benjaminmoore.albernicolour@gmail.com,250-720-0030,,http://www.albernicolour.net,Port Alberni,49.2540496,-124.7978847
Alkali Resource Management Ltd. ,francis@armltd.org,250-440-5870,,http://www.esketemc.org/enterprises.html,Alkali Lake,51.788127,-122.239
All Day Logistics,tuya_rday@yahoo.ca,250-643-0648,,,Telegraph Creek,57.9,-131.1666667
"All In Exploration Solutions, Inc.",elong@northwestel.net,867-332-4437,,http://www.all-inexploration.com/,Whitehorse,58.85,-125.2333333
All Nations Development Co.,susank@antco.bc.ca,778-471-4110,,http://www.antco.bc.ca,Kamloops,50.6818577,-120.2948185
All Nations United Energy Inc.,ken@allnationsunited.ca,604-308-2368,,http://www.allnationsunited.ca/#,North Vancouver,49.3190831,-123.1078169
All Rhodes Pilot Service,grhodes@telus.net,250-640-9815,,,Prince George,53.8586799,-122.6647944
Alliance Aboriginal Ventures Business Development,kennroberts141@gmail.com,1-867-334-9985,,,New Aiyansh,55.1970769,-129.0748046
Allied Archipelago Development Corp,alliedarch@telus.net,250-923-1300,,,Cambell River,49.9902144,-125.2472742
Alluring Accents & Decorating,alluringaccents@shaw.ca,250-809-0120,,http://www.mynaramata.com/show21b/Alluring_Accents_PaintingDecorating,Naramata,49.5951449,-119.5928332
Almost 2 Easy Moving & Storgae,a2emoving@gmail.com,250-739-1000,,http://www.almost2easy.ca,Nanaimo ,49.1937772,-123.9848762
ALW Publishing,ALWPublishing@shaw.ca,778-421-4665,,http://alwpublishing.com/,Port Alberni,49.2719946,-124.8734932
Anderson Creek Campground,bbarbandd@uniserve.com,604-867-9089,,http://andersoncreekcamping.com,Boston Bar,49.8666667,-121.4333333
Animikii Inc.,info@animikii.com,877-589-2899,,http://www.animikii.com/,View Royal,48.4439015,-123.4282464
Ann Ball Management Services,annball.management@gmail.com,778-772-6355,,,Tahltan Reserve,58.0166667,-131
Anspayaxw Development Ltd.,max.stevens@kispioxband.ca,250-842-5248,250-842-5604,http://www.kispioxband.com/businesses/businesses1/,Kispiox,55.3497551,-127.6976706
Antares Project Services,asiu@antaresprojects.com,604-551-4675,,http://www.antaresprojects.com/,Lillooet,50.7021243,-121.9312393
Apex Geomatics Construction Surveyors Ltd.,richard.sutton@apexgcs.ca,250-762-5868,,http://www.apexgcs.ca,Kelowna,49.9031737,-119.4792185
ARAMARK Remote Workplace Services,ctrwaynedrury@gmail.com,,,,Port Simpson,54.5582285,-130.4334676
Archibald & Associates,carchibald@shaw.ca,604-987-5703,,,West Vancouver,49.3270916,-123.137756
Archie Williams Horse Training,fnlady48@live.ca,250-380-9169,,,Cache Creek,50.8119445,-121.3233333
Arctic Divide Lodge, info@arcticdivide.ca,,,http://www.arcticdivide.ca,Dease Lake,56.7408261,-129.7908695
Arctic Plumbing and Heating Ltd,arcticplumbing@shaw.ca,,250-428-9996,,Canyon,49.0721044,-116.446479
Arctos Natural Resource Consulting,neilthrondson@hotmail.com,,,,Cranbrook,49.5080556,-115.7469444
Arlene Ness Gitxsan Arts,arlenes-art@live.com,250-842-5589,,https://www.facebook.com/pages/Arlene-Ness/136997678154,Gitanmaax,55.2603822,-127.664586
Arrow Tahltan Transportation Limited,mpinchin@arrow.ca,250-682-3807,,http://www.arrow.ca,Stewart,55.9383334,-129.9911111
Arrowblade Consulting ,nalmorin@arrowbladeconsulting.ca,778-834-6292,,,Smithers,54.791017,-127.2292333
Artisan Angel Cafe,,778-421-3688,,,Port Alberni,49.256764,-124.7833903
Artist- Carrielynn Victor,Carrielynn.Victor@gmail.com,604-997-3211,,https://www.facebook.com/CarrielynnVictorArtist,Rosedale ,49.189021,-121.787741
Artist- Henry Ned,,778-347-9954,,,Abbotsford,49.05,-122.2833333
Asai's Art,asai@shaw.ca,604-792-9895,,http://www.asaisart.com/index.html,Chilliwack,49.1713246,-121.9533768
Ashnola Campground,execassist@lsib.net,250-499-5528,250-499-5538,http://www.lsib.net,Keremeos,49.2051296,-119.8269754
Askiy Resources,karen@askiyresources.com,778-472-1114,,,Kamloops,50.7720691,-120.3339352
Associated Financial Services Inc.,karin.spindler@shaw.ca,604-858-8309,604-858-8412,,Chilliwack,49.1183466,-121.9755336
ATCO Structures & Logistics - Prince George,,250-561-2255,250-561-0351,http://www.atcosl.com/en-ca/Region/Canada/Northern-BC,Prince George,53.841624,-122.7377119
Atlas Manufacturing Ltd.,atlas@casinghammer.com,250-337-5030,,http://www.casinghammer.com/,Merville,49.7808738,-125.0509988
A-Tlegay Fisheries Society ,atlegay@shawcable.com,250-287-8868,,,Campbell River,50.0319753,-125.2573264
Atleo Electric,,604-720-3724,604-824-9902,,Chilliwack,49.1014495,-121.9461789
Atleo River Air Service,atleo@seaviewcable.net,250-725-2205,250-725-3118,http://www.atleoair.com/,Tofino,49.1530556,-125.9044444
Atli Resources,JosephI@namgis.bc.ca,250-974-5556,250- 974-5900,http://www.namgis.bc.ca,Alert Bay,50.596292,-126.934661
Atlin Tlingit Development Corporation,takubasin@yahoo.com,250-651-7948,,,Atlin,59.5666667,-133.7
August Point Lodge,augustpointlodge@gmail.com,250-761-2014,,http://augustpointlodge.com/,Zeballos,50.06153212,-127.3300838
Authenic Concrete Images,authenticconcreteimages@gmail.com,250-803-6038,,http://www.authenticconcreteimages.com/,Salmon Arm,50.7,-119.2666667
Authentic Concrete,authenticconcreteimages@gmail.com,250-803-6038,,,Salmon Arm,50.7344014,-119.2712648
Aven Designs,roxannestump@hotmail.com,250-305-8781,,,Fraser Lake,54.056252,-124.8412891
Aventur Energy Corp.,saven@aventur.ca,250-785-7093,250-263-9278,http://www.aventurenergy.ca/en/,Fort St John,56.2525,-120.8466667
Aventur Energy Corporation,dispatch@aventur.ca,250-785-7093,250-263-9278,http://www.aventurenergy.ca/en/,Fort St John,56.2525,-120.8466667
A-West Services Ltd.,awestservices@shaw.ca,250-723-4499,,,Port Alberni,49.2818677,-124.8160675
Ayelstexw (Sustainability) Consulting Limited Partnership ,Kelly.sherman@ecora.ca,250-469-9757 Ext. 1011,250-469-9757,http://www.ecora.ca,"Rosedale, BC",49.189133,-121.794157
B C General Contracting Inc,admin@bcgc.ca,250-768-9771,,,Westbank,49.8423285,-119.5935981
B&D Excavating and Landfill,Dave@BandDExcavating.com,604-882-8499,,http://www.banddexcavating.com,Langley,49.1776385,-122.671203
B&G Power Systems Ltd.,gpower7@telus.net,604-944-1104,604-944-3325,,Coquitlam,49.2860175,-122.7955691
Backwood Ventures,bfuller_19@hotmail.com,250-296-3127,,,150 Mile House,52.1041,-121.9283
Bar H Contracting Ltd.,hbehn@northwestel.net,250-774-2408,,,Fort Nelson,58.7756427,-122.6583893
Barb's Native Designs,tristenjames36@hotmail.com,604-859-4280,,,Abbotsford,49.05,-122.2833333
Barkley Sound Shellfish LP,noahp@toquaht.ca,250-726-4230,,http://www.toquaht.ca/operating-companies/,Ucluelet,48.9447204,-125.5565291
Barlandscaping,barllan@yahoo.ca,250-807 2403,,,Kelowna,49.8788807,-119.3908026
BC First Nations Constructors Groups Inc.,dave@bcfncg.com,604-619-5100,604-402-4498,,Chilliwack,49.1462961,-121.9944015
Beadwork by Mizz Alphonse,dana_alphonse@hotmail.com,250-305-4816,,,Williams Lake,52.1119037,-121.9944456
Bear Creek Second Hand ,,250-701-0994,,,Cowichan,48.8560437,-124.1768328
Bear Gas Bar & Convenience Store,,604-867-9259,,http://bostonbarfirstnation.com,Boston Bar,49.8666667,-121.4333333
Bear Image Productions,sandra@bearimage.ca,604-824-6222,604-858-6584,http://www.bearimage.ca,Chilliwack,49.1027889,-121.9588181
Beaverdam Environmental,rothlisberger.wes@gmail.com,250-263-7814,250-261-6526,,Fort St John,56.2525,-120.8466667
Bedrock Services Ltd,eboceanbreeze@gmail.com,250-793-9018,,,Baldonnel,56.2,-120.6833333
Bell Aviation Consultants,belljn@hotmail.com,250-923-6646,,http://www.members.shaw.ca/belljn/Aviation/index.htm,Campbell River,49.9917852,-125.2416582
Bell Bulldozing,bell-bull@shaw.ca,250-334-7875,,,Courtenay,49.6690005,-125.027771
Bella Bella Airport Authority Ltd.,BellaBellaAir@outlook.com,250-957-2868,250-957-2869,http://www.heiltsukdevco.com/hedc-business/group-of-companies,Bella Bella,52.165131,-128.144839
Bella Bella Liquor Agency,,250-957-2300,250-957-2424,http://www.heiltsukdevco.com/hedc-business/group-of-companies,Bella Bella,52.1656077,-128.1445366
Bella Coola Traffic Control Services,rhart@nndc.ca,250-799-0033,250-799-0035,http://www.nndc.ca,Bella Coola,52.364779,-126.708994
Belle Acres Recreation,gabe@belleacres.ca,250-398-6313,250-392-2543,http://www.belleacres.ca,Williams Lake,52.1124629,-122.1903351
Bells Bows,belljn@hotmail.com,250-923-4464,,http://www.members.shaw.ca/belljn/Bow/index.htm,Campbell River,49.9917852,-125.2416582
Belly Bean Imaging,bellybeanimaging@gmail.com,604-779-5431,,http://www.bellybeanimaging.ca/,West Vancouver,49.3252,-123.1375
Besikoh Fuel LP,valri@nazkoecdev.ca,250-991-0284,250-992-7982,http://besikohfuel.com/,Quesnel,52.9797223,-122.4936111
Best Bet Entertainment,kenn@bestbetentertainment.com,778-883-1388,,http://www.bestbetentertainment.com/,Vancouver,49.2051435,-123.1289116
Best Western Tin Wis Resort Lodge,info@tinwis.com,250-725-4445,,http://www.tinwis.com/,Tofino,49.1311343,-125.8957014
"Bev Sellars, Author",alu2008@live.ca,250-989-4301,,,Williams Lake,52.2369381,-122.0522057
BGW FILM STUDIOS,admin@bgwfilmstudios.com,250.850.9344,,http://www.bgwfilmstudios.com,Campbell River,50.0472431,-125.2730345
Big Al's Catering,,604-792-6300,604-792-5797,http://www.stolocf.ca/big-als-catering.html,Chilliwack,49.1572693,-121.9833091
Big River Analytics,hannes@bigriveranalytics.com,250-922-4999,,http://bigriveranalytics.com/,Terrace ,54.5542545,-128.6037947
Big Sky Station,mainoffice@skeetchestn.ca,250-373-0018,,,Cache Creek,49.1804366,-123.9451738
Bigfoot Donuts,yum@bigfootdonuts.com,250-871-6603,,https://www.bigfootdonuts.com/,Courtenay,49.6902502,-125.0032691
Bill Reid Gallery of Northwest Coast Art,info@billreidgallery.ca,877-748-8687,,http://www.billreidgallery.ca/,Vancouver,49.2843208,-123.1197968
Bizzie B's Cleaning,BizzieBsCleaning@gmail.com,604-892-7415,,http://www.bizziebees.ca/index.html,Squamish,49.7519443,-123.1336634
Bizzybody Events,jocelyn@bizzybody.ca,250-793-0272,250-785-8808,http://www.bizzybody.ca,Fort St John,56.2598703,-120.8539087
Black Bear Developments,chiefrichardl@gmail.com,250-579-5720,,,Black Pines,50.9916481,-120.23838
Black Diamond Dene,,,,http://www.blackdiamondlimited.com/main/page/aboriginal-partnerships,Fort St John,56.2417224,-120.8610065
Blackfish Environmental,chris@blackfishent.ca,250-622-4462,250-469-9757,http://www.blackfishenviro.ca/,Kelowna,49.885637,-119.490614
Blackfish Sawmills,srbohn@telus.net,250-638-8282,,,Terrace,54.524994,-128.5997007
Blackwater Camp Services,valri@nazkoecdev.ca,250-992-9085,250-992-3790,http://www.blackwatercampservices.com/,Quesnel,52.9797223,-122.4936111
BladeRunners,suzanne.catto@saset.ca,604-819-8320,604-858-3528,http://www.saset.ca/bladerunners.html,Chilliwack,49.1347378,-121.9598039
Blanshard Systems,mschell@telus.net,250-383-9990 or 250-661-5565,250-383-9992,,Victoria,48.4406339,-123.3657027
Blue Banana PC,mygeckopod@gmail.com,250-731-0580,,,Port Alberni,49.2968463,-124.8072976
Blue Fire Metals,ctrwaynedrury@gmail.com,,,,Port Simpson,54.5582285,-130.4334676
Blue Heron Projects,info@blueheronprojects.ca,604-803-1905,604-536-5837,http://www.blueheronprojects.ca,South Surrey,49.0287031,-122.8598157
Blue Thunder Electric,bluethunderelectric@gmail.com,250-851-1132,,,Barriere,51.2130406,-120.1406279
Blueberry River Enterprises GP LTD,,250-630-2614,,http://breltd.net/,Charlie Lake,56.2833334,-120.95
BMG Security ,,250-774-6936,250-774-3089,,Fort Nelson,58.8055556,-122.6972222
Borrow Enterprises Ltd,dborrow@msn.com,250-674-1343,250-674-3114,,Clearwater,51.6482037,-120.0693035
Boston Holdings,,250-692-6464,,,Burns Lake,54.2302778,-125.7644444
BR Thompson Co,brt@webgraphic.ca,250-888-2374,250-656-5360,http://www.webgraphic.ca/,Saanichton,48.6475199,-123.4527727
Braker Electric LTD,cliffbraker@shaw.ca,250-723-7506,,,Port Alberni,49.2696295,-124.8567326
Brave Shield Security Inc.,warren@braveshield.com,778-999-4384,604-496-1477,http://www.braveshield.com/,Surrey,49.2004474,-122.8491268
Bravo Restaurant & Lounge,snowdogone@gmail.com,604-792-7721,,http://www.bravorestaurant.ca/,Chilliwack,49.1716952,-121.949784
Breakout Contracting Ltd,dawnmcgrath74@gmail.com,250-397-2728,250-397-2702,,Forest Grove,51.7666667,-121.1
Brett Cairns: RE/MAX Ocean Pacific Realty,brettcairns@remax.net,250-898-3348,,http://www.brettcairns.com/,Comox ,49.6766705,-124.9351669
Brian Payer and Associates Inc.,bpayer@dccnet.com,,604-943-8252,,Delta,49.0091775,-123.0766365
Brian Titus Strategic Consulting,brian@btconsulting.ca,250-485-7365,,,Oliver,49.1824336,-119.5596694
Bridging Innovations Inc.,bob@bridginginnovations.com,250.571.9566,,https://bridginginnovations.com,Kamloops BC,50.6745,-120.3273
Brown's Mini Mart,normabrown53@gmail.com,250-957-2498,,http://www.heiltsukdevco.com/index.php?option=com_content&view=article&id=84&Itemid=95,Bella Bella,52.165131,-128.144839
BSI Bookkeeping and Tax Services,accounting@blanshardsystems.com,250-590-2770,250-384-2144,http://blanshardsystems.com/,Victoria,48.425692,-123.3637122
Budding Children's Garden & Daycare,info@buddings.ca,604-569-3951,,http://buddings.ca/,Vancouver,49.2630732,-123.1255023
Buffalo Rains Network Corporation,rick@buffalorainsnetwork.com,778-706-9451,,http://buffalorainsnetwork.com/,Vancouver,49.2664176,-123.0843691
Bulkley Valley Roofing,bvroof@bulkley.net,250-846-9440,,,Smithers,54.7791667,-127.1761111
Bulkley Valley Roofing Ltd,bvroof2@gmail.com,250-846-9446,250-846-9440,,Smithers,54.7698334,-127.143943
Burns Lake Native Development Corporation,rmorrison@blndc.ca,250-692-3188,,http://www.blndc.ca/,Burns Lake,54.2302778,-125.7644444
Burns Lake Native Logging Ltd.,wbohmer@blndc.ca,250-692-3188,,http://www.blndc.ca,Burns Lake,54.2302778,-125.7644444
Butterfly Kisses Mobile Spa,tarabackman1978@gmail.com,604-703-9761,,,Chilliwack,49.1213264,-121.97059
"Button Blanket Lodging, B&B",buttonblanketlodging@hotmail.com,604-328-9805,,,Richmond,49.169516,-122.9660067
BV Weed Busters / Bobcat Services Ltd.,cjskub@xplornet.com,250-847-5531,,,Smithers,54.8295261,-127.2127454
C C Mobile Welding And Mechanical Services Ltd,cullen1@live.ca,250-771-5533,,,Dease Lake,58.4724438,-130.0175676
C. Boehringer & Associates,cboehrin@telus.net,604-833-1925,250-410-0275,,Coquitlam,49.2666635,-122.8704404
CAL Consulting,info@calconsulting.ca,250-656-3134,,http://www.calconsulting.ca,Victoria,48.4443821,-123.3363494
Calming Hearts Counselling,calminghearts@gmail.com,250-730-0186 ,,,Port Alberni,49.2344445,-124.8058333
Calorie Connection,calorieconnectionvending@gmail.com,250-897-4436,250-339-0871,http://calorieconnection.ca/,Comox,49.6787959,-124.9229431
Campbell River Cabinets & Renovations Ltd,bradcain@telus.net,250-286-0506,250-830-0506,,Campbell River,50.0325101,-125.2654791
Cam's Race Track Gas,,250-766-3723,,,Kelowna,50.0009967,-119.4015339
Canadian Centre for Aboriginal Entrepreneurship Inc. ,ccae@shaw.ca,250-352-3878,,http://www.ccae.ca/,Nelson,49.4823105,-117.2871477
Canadian Rubber and Steel Ltd.,john@cdnrs.ca,604-946-5599,604-946-5669,http://canadianrubberandsteel.com/,Delta,49.1402338,-123.0081038
Canadian Shelters Design and Manufacturing,val@canadianshelters.com,604-539-8765,,http://www.canadianshelters.com/HomePage.html,Langley,49.1064274,-122.6774297
Canadian Super Igloos,info@csidomes.com,,,,Kelowna,49.8576542,-119.4709159
Canoe Creek Band Co-op Store,storemanager@canoecreekband.ca,250-440-5758,,,Dog Creek,54.2833334,-124.2666667
Can-Swe Distributors Inc.,info@canswe.com,250-832-4022,,http://www.canswe.com/,Salmon Arm,50.7,-119.2666667
Capilano River RV Park,info@capilanoriverrvpark.com,604-987-4722,604-987-2015,http://www.capilanoriverrvpark.com/,West Vancouver,49.3239731,-123.1314064
Carden Consulting,laara@cardenconsulting.com,,604-988-9500,http://www.cardenconsulting.com,North Vancouver,49.3056299,-122.9709036
Cardinal Ranch,info@cardinalranch.com,250-968-4481,,http://www.cardinalranch.com/,Valemount,53.023119,-119.539123
Cariboo Chilcotin Jetboat Adventures,info@jetboatadventures.com,877-748-8687,250-659-5800,,Williams Lake,52.1291667,-122.14
Caribou Management and Training Consulting,pmckinnon@shaw.ca,,,,North Vancouver,49.3239107,-123.1210389
Carlson Fleet Maintenance Inc,carlsonfm@shaw.ca,604-746-1778,,,Abbotsford,49.0437242,-122.3589134
Carmen's Custom Cakes,carmenalec@hotmail.com,250-691-1997,,,Burns Lake,54.2266699,-125.7653057
Carrier Food and Fuel,mur2009@telus.net,250-996-7238,,,Fort St James,54.4174,-124.2668551
Carter Reign,tawiinism@gmail.com,250-670-9567,,,Ahousaht,49.2527948,-126.0994881
Cascade Pacific Industries,cpindustries@telus.net,604-880-9777,,,West Vancouver,49.3269527,-123.1377458
Cascadia Board Co.,anng65seo@gmail.com,250-830-3825,,http://cascadiaboardco.com,Victoria,48.4814194,-123.3890174
Cascadian Forest Consultants,a3ranches@hotmail.com,250 280 1687,,,Lower Nicola,50.1753057,-120.8691584
Cayoose Creek Development Corporation,591ccdl@gmail.com,250-256-4136,,,Lillooet,50.7185365,-121.9111732
C-Boards Ltd.,m_henyu@telus.net,778-256-5711,,,Ft St John,56.255,120.8552187
